Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information
Palomar Health (Palomar Medical Center (Escondido),CA,Healthcare Provider,1309,1/8/2018,Unauthorized Access/Disclosure,Electronic Medical Record
"Charles River Medical Associates, pc",MA,Healthcare Provider,9387,1/8/2018,Loss,Other Portable Electronic Device
Oklahoma State University Center for Health Sciences,OK,Healthcare Provider,279865,1/5/2018,Hacking/IT Incident,Network Server
Penn Medicine,PA,Healthcare Provider,1050,1/2/2018,Theft,Laptop
SSM Health,MO,Healthcare Provider,29579,12/28/2017,Unauthorized Access/Disclosure,Electronic Medical Record
"Miracle-Ear, Inc. and Amplifon (USA), Inc.",MN,Business Associate,554,12/28/2017,Hacking/IT Incident,Email
"Longs Peak Family Practice, P.C.",CO,Healthcare Provider,16238,12/27/2017,Hacking/IT Incident,"Desktop Computer, Network Server"
Blue Cross Blue Shield of Massachusetts,MA,Health Plan,1843,12/26/2017,Unauthorized Access/Disclosure,Email
"Absolute Dental Hygiene, LLC",OR,Healthcare Provider,871,12/20/2017,Hacking/IT Incident,"Desktop Computer, Electronic Medical Record, Network Server"
MidMichigan Medical Center-Alpena,MI,Healthcare Provider,1900,12/19/2017,Loss,Paper/Films
Emory Healthcare  ,GA,Healthcare Provider,24000,12/15/2017,Unauthorized Access/Disclosure,Email
Chilton Medical Center,NJ,Healthcare Provider,4600,12/15/2017,Theft,Other Portable Electronic Device
NYU School of Medicine - Pediatric Surgery Associates,NY,Healthcare Provider,2158,12/15/2017,Improper Disposal,Paper/Films
"Kaiser Foundation Health Plan, Inc.",CA,Health Plan,4389,12/14/2017,Hacking/IT Incident,Email
Midland County Hospital District d/b/a Midland Memorial Hospital  ,TX,Healthcare Provider,1160,12/12/2017,Hacking/IT Incident,Email
Pharmacy Innovations,NY,Healthcare Provider,1205,12/12/2017,Hacking/IT Incident,Network Server
"Franciscan Physician Network of Illinois and Specialty Physicians of Illinois, LLC (formerly known as WellGroup Health Partners, LLC)",IL,Healthcare Provider,22000,12/9/2017,Loss,Paper/Films
"Columbus Surgery Center, LLC ",NE,Healthcare Provider,7221,12/7/2017,Hacking/IT Incident,Network Server
"Eye Physicians, P.C.",NE,Healthcare Provider,2620,12/7/2017,Hacking/IT Incident,Network Server
Austin Manual Therapy Associates,TX,Healthcare Provider,1750,12/6/2017,Hacking/IT Incident,"Laptop, Network Server"
Bronson Healthcare Group,MI,Healthcare Provider,8256,12/5/2017,Hacking/IT Incident,Email
Golden Rule Insurance Company,IN,Health Plan,9305,12/4/2017,Unauthorized Access/Disclosure,Network Server
Sinai Health System ,IL,Healthcare Provider,11347,12/1/2017,Hacking/IT Incident,Email
Henry Ford Health System,MI,Healthcare Provider,43563,12/1/2017,Theft,Email
"CCRM Minneapolis, P.C.",MN,Healthcare Provider,3280,12/1/2017,Hacking/IT Incident,Network Server
Hackensack Sleep and Pulmonary Center,NJ,Healthcare Provider,16474,11/28/2017,Hacking/IT Incident,Network Server
Alere Toxicology,MA,Healthcare Provider,2146,11/28/2017,Unauthorized Access/Disclosure,Paper/Films
"Pulmonary Specialists of Louisville, PSC",KY,Healthcare Provider,32000,11/27/2017,Hacking/IT Incident,Electronic Medical Record
Metrocare Services,TX,Healthcare Provider,500,11/17/2017,Hacking/IT Incident,Email
"The Medical College of Wisconsin, Inc.",WI,Healthcare Provider,9500,11/17/2017,Hacking/IT Incident,Email
Washington State Department of Social and Health Services,WA,Healthcare Provider,515,11/16/2017,Unauthorized Access/Disclosure,Email
UPMC Susquehanna,PA,Healthcare Provider,1208,11/15/2017,Hacking/IT Incident,Email
"Sports Medicine & Rehabilitation Therapy, Inc.",MA,Healthcare Provider,7000,11/14/2017,Hacking/IT Incident,Network Server
"Otolaryngology Associates of Central New Jersey, P.C.",NJ,Healthcare Provider,1551,11/10/2017,Theft,Paper/Films
The Center For Health Care Services ,TX,Healthcare Provider,501,11/8/2017,Theft,Paper/Films
Aetna Inc.,CT,Health Plan,1600,11/8/2017,Unauthorized Access/Disclosure,Paper/Films
Indiana University Health,IN,Healthcare Provider,1399,11/3/2017,Improper Disposal,Paper/Films
"Shop-Rite Supermarkets, Incorporated",NY,Healthcare Provider,12172,11/3/2017,Improper Disposal,Other Portable Electronic Device
East Central Kansas Area Agency on Aging,KS,Business Associate,8750,10/31/2017,Hacking/IT Incident,Network Server
Texas Children's Health Plan,TX,Health Plan,932,10/27/2017,Unauthorized Access/Disclosure,Email
Florida Blue ,FL,Health Plan,939,10/27/2017,Unauthorized Access/Disclosure,Paper/Films
Catholic Charities of the Diocese of Albany,NY,Healthcare Provider,4624,10/27/2017,Hacking/IT Incident,Network Server
Cook County Health & Hospitals System,IL,Healthcare Provider,727,10/27/2017,Unauthorized Access/Disclosure,Network Server
"Arch City Dental, LLC - Drs. Baloy and Donatelli",OH,Healthcare Provider,1716,10/26/2017,Unauthorized Access/Disclosure,Email
"MGA Home Healthcare Colorado, Inc.",AZ,Healthcare Provider,2898,10/25/2017,Hacking/IT Incident,Email
TJ Samson Community Hospital,KY,Healthcare Provider,683,10/24/2017,Unauthorized Access/Disclosure,Electronic Medical Record
Iowa Department of Human Services,IA,Health Plan,820,10/20/2017,Hacking/IT Incident,Email
Martinsville Henry County Coalition for Health and Wellness,VA,Healthcare Provider,5806,10/13/2017,Theft,Laptop
Bridget P Early MD LLC d/b/a Namaste Health Care,MO,Healthcare Provider,1617,10/12/2017,Hacking/IT Incident,Network Server
John Hancock Life Insurance Company (U.S.A.),MA,Health Plan,1715,10/6/2017,Hacking/IT Incident,Network Server
Briggs & Stratton Corporation,WI,Health Plan,12789,9/29/2017,Hacking/IT Incident,"Desktop Computer, Laptop, Network Server"
"Riaz Baber, M.D., S.C.",IL,Healthcare Provider,10500,9/28/2017,Unauthorized Access/Disclosure,Paper/Films
Advanced Spine & Pain Center,TX,Healthcare Provider,8352,9/27/2017,Hacking/IT Incident,"Electronic Medical Record, Network Server"
Mercy Health Love County Hospital and Clinic ,OK,Healthcare Provider,13004,9/20/2017,Theft,"Laptop, Paper/Films"
MN Urology,MN,Healthcare Provider,939,9/18/2017,Unauthorized Access/Disclosure,Email
"W. W. Grainger, Inc.",IL,Health Plan,1594,9/18/2017,Theft,Laptop
The MS Center of Saint Louis and Mercy Clinic Neurology - Town and Country ,MO,Healthcare Provider,1081,9/16/2017,Unauthorized Access/Disclosure,Other
"AU Medical Center, Inc.",GA,Healthcare Provider,6109,9/15/2017,Hacking/IT Incident,Email
Medical Mutual of Ohio,OH,Health Plan,6119,9/15/2017,Unauthorized Access/Disclosure,Email
"Indiana Health Centers, Inc.",IN,Healthcare Provider,1697,9/12/2017,Theft,"Desktop Computer, Laptop"
Children's Hospital Colorado,CO,Healthcare Provider,3370,9/8/2017,Hacking/IT Incident,Email
Network Health,WI,Health Plan,51232,9/8/2017,Hacking/IT Incident,Email
Ridgeview Medical Center,MN,Healthcare Provider,1074,9/8/2017,Unauthorized Access/Disclosure,Email
University of Wisconsin - Madison,WI,Healthcare Provider,1000,9/7/2017,Unauthorized Access/Disclosure,Paper/Films
Community Memorial Health System,CA,Healthcare Provider,959,9/5/2017,Hacking/IT Incident,Email
"CBS Consolidated, Inc.",NE,Business Associate,21856,9/5/2017,Hacking/IT Incident,Network Server
"The Neurology Foundation, Inc.",RI,Healthcare Provider,12861,9/1/2017,Unauthorized Access/Disclosure,"Desktop Computer, Electronic Medical Record, Network Server, Other Portable Electronic Device, Paper/Films"
Aetna Inc.,CT,Health Plan,11887,8/29/2017,Unauthorized Access/Disclosure,Paper/Films
"Medical Oncology Hematology Consultants,PA",DE,Healthcare Provider,19203,8/29/2017,Hacking/IT Incident,"Desktop Computer, Network Server"
Kaleida Health,NY,Healthcare Provider,744,8/25/2017,Hacking/IT Incident,Email
"McLaren Medical Group, Mid-Michigan Physicians Imaging Center",MI,Healthcare Provider,106008,8/24/2017,Hacking/IT Incident,Network Server
Feinstein and Roe Mds Inc.,CA,Healthcare Provider,6642,8/21/2017,Hacking/IT Incident,Network Server
"Centura Health, Mercy Family Medicine",CO,Healthcare Provider,2069,8/16/2017,Loss,Other Portable Electronic Device
Salina Family Healthcare Center,KS,Healthcare Provider,77337,8/16/2017,Hacking/IT Incident,"Desktop Computer, Electronic Medical Record, Network Server"
MJHS Home Care,NY,Healthcare Provider,6000,8/11/2017,Hacking/IT Incident,Email
Silver Cross Hospital,IL,Healthcare Provider,8862,8/11/2017,Unauthorized Access/Disclosure,Network Server
"MDeverywhere, Inc.",TX,Business Associate,1396,8/10/2017,Unauthorized Access/Disclosure,Other
Surgical Dermatology Group,AL,Healthcare Provider,14000,8/5/2017,Hacking/IT Incident,Network Server
"Elderplan, Inc. ",NY,Health Plan,22000,8/5/2017,Hacking/IT Incident,Email
Spectrum Health System,MI,Healthcare Provider,902,8/3/2017,Theft,Other Portable Electronic Device
Bluetail Medical Group,MO,Healthcare Provider,11000,8/2/2017,Hacking/IT Incident,Desktop Computer
Daniel Drake Center for Post-Acute Care,OH,Healthcare Provider,4721,8/1/2017,Unauthorized Access/Disclosure,Electronic Medical Record
Northwest Rheumatology,AZ,Healthcare Provider,7468,7/31/2017,Hacking/IT Incident,Network Server
Plastic Surgery Associates of South Dakota,SD,Healthcare Provider,10229,7/27/2017,Hacking/IT Incident,Network Server
"Anthem, Inc.",IN,Health Plan,18580,7/24/2017,Unauthorized Access/Disclosure,Email
The University of Vermont Medical Center,VT,Healthcare Provider,2300,7/21/2017,Hacking/IT Incident,Email
Performance Physical Therapy and Wellness,CT,Healthcare Provider,571,7/21/2017,Hacking/IT Incident,Email
Massachusetts Department of Public Health - Tewksbury Hospital,MA,Healthcare Provider,1176,7/21/2017,Unauthorized Access/Disclosure,Electronic Medical Record
Kaleida Health,NY,Healthcare Provider,2789,7/21/2017,Hacking/IT Incident,Email
Metropolitan Life Insurance Company,NY,Health Plan,4220,7/19/2017,Hacking/IT Incident,Other
"Women's Health Care Group of PA, LLC",PA,Healthcare Provider,300000,7/15/2017,Hacking/IT Incident,"Desktop Computer, Network Server"
Detroit Medical Center,MI,Healthcare Provider,1529,7/13/2017,Theft,"Desktop Computer, Paper/Films"
Professional Counseling & Medical Associates,TN,Healthcare Provider,2500,7/13/2017,Hacking/IT Incident,Electronic Medical Record
Rosalind Franklin University of Medicine ,IL,Healthcare Provider,859,7/9/2017,Hacking/IT Incident,Email
"Peachtree Neurological Clinic, P.C.",GA,Healthcare Provider,176295,7/7/2017,Hacking/IT Incident,Network Server
The Dermatology Center of Raleigh PA,NC,Healthcare Provider,3000,7/5/2017,Unauthorized Access/Disclosure,Email
"PVHS-ICM Employee Health and Wellness, LLC as covered entity and business associate",CO,Healthcare Provider,10143,7/3/2017,Hacking/IT Incident,Network Server
Enterprise Services LLC,CO,Business Associate,822,6/30/2017,Unauthorized Access/Disclosure,"Network Server, Other"
Community Link Inc,WI,Health Plan,5524,6/30/2017,Hacking/IT Incident,Email
California Pacific Orthopaedics and Sports Medicine,CA,Healthcare Provider,2263,6/30/2017,Theft,"Laptop, Paper/Films"
FastHealth Corporation,AL,Business Associate,9289,6/29/2017,Hacking/IT Incident,Network Server
Enterprise Services LLC,IN,Business Associate,56075,6/27/2017,Unauthorized Access/Disclosure,"Network Server, Other"
GI Care for Kids Endoscopy Center,GA,Healthcare Provider,1700,6/27/2017,Hacking/IT Incident,Network Server
Henry Ford Health System,MI,Healthcare Provider,596,6/26/2017,Theft,Paper/Films
Southern Illinois Hospital Services,IL,Healthcare Provider,613,6/23/2017,Unauthorized Access/Disclosure,Network Server
Pharma Medica Research Inc.,MO,Healthcare Provider,2718,6/23/2017,Unauthorized Access/Disclosure,Network Server
"Adams Industries, Inc.",NE,Health Plan,647,6/21/2017,Hacking/IT Incident,Network Server
Aetna Inc.,CT,Health Plan,5002,6/20/2017,Unauthorized Access/Disclosure,Network Server
"Airway Oxygen, Inc.",MI,Healthcare Provider,500000,6/16/2017,Hacking/IT Incident,Network Server
"Cove Family and Sports Medicine, LLC",AL,Healthcare Provider,4300,6/12/2017,Hacking/IT Incident,Network Server
Southwest Community Health Center,CT,Healthcare Provider,6000,6/7/2017,Theft,"Desktop Computer, Laptop"
"N. Fred Eaglstein, D.O. d/b/a Dermatology and Laser Center",FL,Healthcare Provider,2000,5/30/2017,Unauthorized Access/Disclosure,Electronic Medical Record
UW Health,WI,Healthcare Provider,2036,5/25/2017,Hacking/IT Incident,Email
"D. Andrew Loomis MD, Paula Schulze MD,Tammara Stefanelli MD, Christen Vu DO, Anja Crider MD",WA,Healthcare Provider,9000,5/24/2017,Hacking/IT Incident,Network Server
New York City Health and Hospitals Corporation - Coney Island Hospital,NY,Healthcare Provider,3494,5/9/2017,Unauthorized Access/Disclosure,"Other, Paper/Films"
Blue Cross and Blue Shield of Kansas City,MO,Health Plan,725,5/5/2017,Unauthorized Access/Disclosure,Other
Michagan Facial Aesthetic Surgeons d/b/a University Physician Group,MI,Healthcare Provider,3467,4/28/2017,Theft,Laptop
Spine Specialist,NJ,Healthcare Provider,600,4/28/2017,Theft,Laptop
Atlantic Digestive Specialists  ,NH,Healthcare Provider,2081,4/21/2017,Hacking/IT Incident,Network Server
Lifespan Corporation,RI,Healthcare Provider,20431,4/21/2017,Theft,Laptop
Humana Inc [case # HU17001CC],KY,Health Plan,3831,4/18/2017,Hacking/IT Incident,Network Server
"BioReference Laboratories, Inc.",NJ,Healthcare Provider,1772,4/14/2017,Improper Disposal,Paper/Films
Ashland Women's Health,KY,Healthcare Provider,19727,4/4/2017,Hacking/IT Incident,Network Server
Memorial Healthcare,MI,Healthcare Provider,685,4/3/2017,Unauthorized Access/Disclosure,Paper/Films
"Apex EDI, Inc.",UT,Business Associate,1132,3/31/2017,Hacking/IT Incident,Network Server
"Skin Cancer Specialists, P.C.",GA,Healthcare Provider,3365,3/31/2017,Hacking/IT Incident,Network Server
Washington University School of Medicine,MO,Healthcare Provider,80270,3/25/2017,Hacking/IT Incident,Email
Metropolitan Urology Group,WI,Business Associate,17634,3/10/2017,Hacking/IT Incident,Network Server
St. Louis Children's Hospital,MO,Healthcare Provider,643,3/9/2017,Unauthorized Access/Disclosure,Email
"Primary Care Specialists, Inc.",TN,Healthcare Provider,65000,3/9/2017,Hacking/IT Incident,Network Server
American Home Patient,TN,Healthcare Provider,13861,3/6/2017,Theft,Other Portable Electronic Device
VisionQuest Eyecare,IN,Healthcare Provider,85995,3/2/2017,Hacking/IT Incident,Network Server
VA St. Louis Health Care System,MO,Healthcare Provider,724,3/1/2017,Unauthorized Access/Disclosure,Paper/Films
North Carolina Department of Health and Human Services,NC,Health Plan,12731,2/23/2017,Unauthorized Access/Disclosure,Email
Emory Healthcare ,GA,Healthcare Provider,79930,2/21/2017,Hacking/IT Incident,Network Server
Chadron Community Hospital & Health Services,NE,Healthcare Provider,702,2/19/2017,Unauthorized Access/Disclosure,Electronic Medical Record
The Affiliated Sante Group,MD,Healthcare Provider,550,1/31/2017,Unauthorized Access/Disclosure,Electronic Medical Record
Vertiv Co. Health & Welfare Plan,OH,Health Plan,955,1/31/2017,Unauthorized Access/Disclosure,Paper/Films
Shiel Sexton,IN,Health Plan,710,1/27/2017,Unauthorized Access/Disclosure,Other
Princeton Pain Management,NJ,Healthcare Provider,4668,1/27/2017,Hacking/IT Incident,"Desktop Computer, Electronic Medical Record"
Sentara Healthcare,VA,Healthcare Provider,5454,1/16/2017,Hacking/IT Incident,Network Server
St. Luke's Medical Center,ND,Healthcare Provider,600,1/16/2017,Hacking/IT Incident,Network Server
"University of Maryland Orthopaedic Associates, P.A.",MD,Healthcare Provider,1320,1/13/2017,Hacking/IT Incident,Email
"State of New Hampshire, Department of Health and Human Services",NH,Healthcare Provider,15000,12/30/2016,Hacking/IT Incident,Desktop Computer
Horizon Healthcare Services Inc. doing business as Horizon Blue Cross Blue Shield of New Jersey and its affiliates,NJ,Health Plan,55700,12/30/2016,Unauthorized Access/Disclosure,Paper/Films
Susan M Hughes Center,NJ,Healthcare Provider,11400,12/27/2016,Hacking/IT Incident,Network Server
"Brandywine Pediatrics, P.A.",DE,Healthcare Provider,26873,12/23/2016,Hacking/IT Incident,Network Server
Waiting Room Solutions Limited Liability Limited Partnership,NY,Business Associate,700,12/23/2016,Unauthorized Access/Disclosure,Email
Fairbanks Hospital,IN,Healthcare Provider,12994,12/16/2016,Unauthorized Access/Disclosure,Network Server
Quest Diagnostics,NJ,Healthcare Provider,34055,12/12/2016,Hacking/IT Incident,Network Server
"Appalachian Gastroenterology, P.A.",NC,Healthcare Provider,11000,12/10/2016,Hacking/IT Incident,Network Server
Dr. Melissa D. Selke,NJ,Healthcare Provider,4277,12/5/2016,Hacking/IT Incident,"Desktop Computer, Electronic Medical Record"
Advanced Fertility Center of Chicago,IL,Healthcare Provider,19000,12/1/2016,Hacking/IT Incident,"Desktop Computer, Electronic Medical Record, Network Server"
Managed Health Services,IN,Health Plan,5500,11/29/2016,Theft,"Email, Laptop"
UnitedHealth Group Single Affiliated Covered Entity,MN,Health Plan,1408,11/22/2016,Unauthorized Access/Disclosure,Other
Peachtree Orthopaedic Clinic,GA,Healthcare Provider,531000,11/18/2016,Hacking/IT Incident,Network Server
Vascular Surgical Associates,GA,Healthcare Provider,36496,11/10/2016,Hacking/IT Incident,Network Server
"Best Health Physical Therapy, LLC ",CT,Healthcare Provider,1100,11/10/2016,Unauthorized Access/Disclosure,Other
Briar Hill Management,MS,Business Associate,2000,11/9/2016,Loss,Laptop
Lister Healthcare,AL,Healthcare Provider,1349,11/9/2016,Theft,Laptop
"Consultants in Neurological Surgery, LLP",FL,Healthcare Provider,800,11/8/2016,Unauthorized Access/Disclosure,Paper/Films
VA Eastern Colorado Health Care System,CO,Healthcare Provider,2130,11/8/2016,Unauthorized Access/Disclosure,Email
Austin Pulmonary Consultants,TX,Healthcare Provider,889,11/7/2016,Improper Disposal,Paper/Films
"HP Enterprise Services, LLC",TX,Business Associate,1235,11/7/2016,Theft,Other
"Kaiser Permanente Health Plan, Inc of Northern California",CA,Health Plan,4432,11/7/2016,Unauthorized Access/Disclosure,Network Server
"Kaiser Foundation Healthplan, Inc. of Southern California",CA,Health Plan,3044,11/6/2016,Unauthorized Access/Disclosure,Network Server
Kaiser Foundation Health Plan of the Northwest,OR,Health Plan,544,11/6/2016,Unauthorized Access/Disclosure,Network Server
"Wal-Mart Stores, Inc.",AR,Healthcare Provider,771,11/4/2016,Unauthorized Access/Disclosure,Paper/Films
"Kinetorehab Physical Therapy, PLLC",NY,Healthcare Provider,665,11/4/2016,Theft,Laptop
"Anthem, Inc.",IN,Health Plan,3525,10/26/2016,Unauthorized Access/Disclosure,Email
"Dr. Dennis T. Myers, D.D.S., P.A.",MO,Healthcare Provider,3364,10/24/2016,Hacking/IT Incident,Network Server
"Silver Creek Fitness & Physical Therapy, Silver Creek Physical Therapy Gilroy, Silver Creek Physical Therapy Sunnyvale, Silver Creek Physical Therapy ",CA,Healthcare Provider,8009,10/24/2016,Unauthorized Access/Disclosure,Network Server
"Singh and Arora Oncology Hematology, P.C.",MI,Healthcare Provider,16000,10/21/2016,Hacking/IT Incident,Network Server
Florida Hospital Medical Group,FL,Healthcare Provider,6786,10/21/2016,Loss,Paper/Films
"Baystate Health, Inc.",MA,Healthcare Provider,13112,10/21/2016,Hacking/IT Incident,Email
The Finley Center,NV,Healthcare Provider,3000,10/20/2016,Theft,Desktop Computer
"Harrisonburg OB GYN Associates, P.C.",VA,Healthcare Provider,800,10/20/2016,Theft,Electronic Medical Record
"You and Your Health Family Care, Inc.",FL,Healthcare Provider,3000,10/20/2016,Hacking/IT Incident,Network Server
"MGA Home Healthcare Colorado, Inc.",AZ,Healthcare Provider,3119,10/19/2016,Loss,Laptop
"Four Star Drug of Bethany, Inc.",NE,Healthcare Provider,647,10/18/2016,Improper Disposal,Paper/Films
"Gibson Insurance Agency, Inc.",IN,Business Associate,7242,10/14/2016,Theft,Laptop
Integrity Transitional Hospital,TX,Healthcare Provider,29514,10/14/2016,Hacking/IT Incident,Network Server
Peabody Retirement Community,IN,Healthcare Provider,1466,10/14/2016,Hacking/IT Incident,"Email, Network Server"
Mercy Hospital and Medical Center,IL,Healthcare Provider,547,10/13/2016,Loss,Paper/Films
Baxter Healthcare,IL,Healthcare Provider,992,10/10/2016,Unauthorized Access/Disclosure,Email
Warren Clinic,OK,Healthcare Provider,2938,10/7/2016,Hacking/IT Incident,Network Server
Northwest Community Healthcare,IL,Healthcare Provider,540,10/7/2016,Unauthorized Access/Disclosure,Other Portable Electronic Device
"Genesis Physical Therapy, Inc.",CA,Healthcare Provider,2245,10/7/2016,Unauthorized Access/Disclosure,Electronic Medical Record
The Seattle Indian Health Board,WA,Healthcare Provider,793,10/6/2016,Hacking/IT Incident,Email
Napa Valley Dentistry,CA,Healthcare Provider,4262,10/5/2016,Theft,Other
Baxter Regional Medical Center - Home Health Facility,AR,Healthcare Provider,2124,10/5/2016,Unauthorized Access/Disclosure,Other
Apria Healthcare,CA,Healthcare Provider,1987,10/4/2016,Unauthorized Access/Disclosure,Email
"Francisco Jaume, D.O.",AZ,Healthcare Provider,14236,10/4/2016,Hacking/IT Incident,Network Server
Rainbow Children's Clinic,TX,Healthcare Provider,33698,10/3/2016,Hacking/IT Incident,Network Server
University of Wisconsin Hospitals and Clinics Authority,WI,Healthcare Provider,6923,9/30/2016,Unauthorized Access/Disclosure,Paper/Films
Urgent Care Clinic of Oxford,MS,Healthcare Provider,64000,9/30/2016,Hacking/IT Incident,Network Server
"Fred's Stores of Tennessee, Incorporated",TN,Healthcare Provider,9624,9/29/2016,Theft,Laptop
San Juan Oncology Associates,NM,Healthcare Provider,500,9/29/2016,Hacking/IT Incident,Network Server
Thomasville Eye Center,GA,Healthcare Provider,10891,9/28/2016,Unauthorized Access/Disclosure,Desktop Computer
Marin Healthcare District,CA,Healthcare Provider,2292,9/27/2016,Hacking/IT Incident,Network Server
Prima Medical Foundation ,CA,Healthcare Provider,2933,9/26/2016,Hacking/IT Incident,Network Server
Group Health,WA,Health Plan,668,9/23/2016,Unauthorized Access/Disclosure,Paper/Films
"Central Ohio Urology Group, Inc.",OH,Healthcare Provider,300000,9/23/2016,Hacking/IT Incident,Network Server
"Hal Meadows, M.D.",CA,Healthcare Provider,6000,9/23/2016,Hacking/IT Incident,Desktop Computer
Jennie Stuart Medical Center,KY,Healthcare Provider,1500,9/23/2016,Hacking/IT Incident,Network Server
New Jersey Spine Center,NJ,Healthcare Provider,28000,9/22/2016,Hacking/IT Incident,"Electronic Medical Record, Network Server"
USC Keck and Norris Hospitals,CA,Healthcare Provider,16000,9/21/2016,Hacking/IT Incident,Network Server
McLaren Greater Lansing Cardiovascular Group,MI,Healthcare Provider,1000,9/21/2016,Unauthorized Access/Disclosure,"Desktop Computer, Electronic Medical Record, Other"
Ventura County Health Care Agency,CA,Healthcare Provider,777,9/20/2016,Unauthorized Access/Disclosure,Paper/Films
KidsPeace,PA,Healthcare Provider,1456,9/19/2016,Loss,Paper/Films
"CHI Franciscan Health, St. Clare Hospital and St. Joseph Medical Center",WA,Healthcare Provider,2818,9/16/2016,Unauthorized Access/Disclosure,Electronic Medical Record
"Heritage Medical Partners, LLC",SC,Healthcare Provider,812,9/15/2016,Unauthorized Access/Disclosure,Paper/Films
King of Prussia Dental Associates,PA,Healthcare Provider,16228,9/13/2016,Hacking/IT Incident,Network Server
"Pratap S. Kurra, M.D.",CA,Healthcare Provider,2029,9/12/2016,Loss,Paper/Films
Codman Square Health Center ,MA,Healthcare Provider,3840,9/12/2016,Unauthorized Access/Disclosure,Desktop Computer
U.S. HealthWorks,CA,Healthcare Provider,1400,9/9/2016,Theft,Laptop
Asante,OR,Healthcare Provider,2400,9/9/2016,Unauthorized Access/Disclosure,Electronic Medical Record
Martin Army Community Hospital,GA,Healthcare Provider,1000,9/9/2016,Theft,Paper/Films
Public Education Employees' Health Insurance Plan,AL,Health Plan,1349,9/9/2016,Unauthorized Access/Disclosure,Network Server
"Man Alive, Inc. and Lane Treatment Center, LLC",MD,Healthcare Provider,860,9/8/2016,Hacking/IT Incident,"Desktop Computer, Electronic Medical Record"
"University Gastroenterology, Inc.",RI,Healthcare Provider,15478,9/8/2016,Hacking/IT Incident,Network Server
Decatur Health Systems ,KS,Healthcare Provider,707,9/7/2016,Theft,Paper/Films
Geisinger Health Plan,PA,Health Plan,2814,9/7/2016,Unauthorized Access/Disclosure,Other
Medical College of Wisconsin,WI,Healthcare Provider,3179,9/2/2016,Hacking/IT Incident,Email
Burrell Behavioral Health,MO,Healthcare Provider,7748,9/2/2016,Unauthorized Access/Disclosure,Email
Santa Cruz County Health Services Agency,CA,Healthcare Provider,25000,9/2/2016,Unauthorized Access/Disclosure,Paper/Films
"Franciscan Health, Highline Medical Center",WA,Healthcare Provider,18399,9/1/2016,Unauthorized Access/Disclosure,Network Server
Willow Bend Dental,TX,Healthcare Provider,625,8/31/2016,Theft,Other
"Center for Neurosurgical & Spine Disorders, LLC",LA,Healthcare Provider,824,8/31/2016,Hacking/IT Incident,Desktop Computer
"Howard R. Jarvis, D.M.D., L.L.C. dba Southwest Portland Dental",OR,Healthcare Provider,1980,8/30/2016,Hacking/IT Incident,Network Server
County of Los Angeles,CA,Healthcare Provider,743,8/30/2016,Theft,Paper/Films
Planned Parenthood of Greater Washington and North Idaho,WA,Healthcare Provider,10700,8/26/2016,Unauthorized Access/Disclosure,Email
"Summit Medical Group, Inc. dba St. Elizabeth Physicians ",KY,Healthcare Provider,674,8/23/2016,Unauthorized Access/Disclosure,Email
CalOptima,CA,Health Plan,1000,8/22/2016,Unauthorized Access/Disclosure,Other Portable Electronic Device
SCAN Health Plan,CA,Health Plan,87069,8/22/2016,Unauthorized Access/Disclosure,Other
The Outer Banks Hospital,NC,Healthcare Provider,1000,8/19/2016,Loss,Other Portable Electronic Device
Orleans Medical Clinic,IN,Healthcare Provider,6890,8/19/2016,Hacking/IT Incident,Network Server
"Village of Oak Park, Illinois",IL,Health Plan,688,8/18/2016,Unauthorized Access/Disclosure,Email
New York State Office of Mental Health,NY,Healthcare Provider,21880,8/15/2016,Hacking/IT Incident,Network Server
Phoenix Dental Care,TN,Healthcare Provider,500,8/15/2016,Theft,Paper/Films
John E. Gonzalez DDS,CA,Healthcare Provider,1025,8/14/2016,Theft,Other Portable Electronic Device
Bon Secours Health System Incorporated,MD,Healthcare Provider,651971,8/12/2016,Unauthorized Access/Disclosure,Network Server
"Valley Anesthesiology Consultants, Inc. d/b/a Valley Anesthesiology and Pain Consultants",AZ,Healthcare Provider,882590,8/12/2016,Hacking/IT Incident,Network Server
Rotech Healthcare Inc.,FL,Healthcare Provider,957,8/11/2016,Unauthorized Access/Disclosure,Paper/Films
Cardiology Associates,MD,Healthcare Provider,907,8/10/2016,Unauthorized Access/Disclosure,Email
Autism Home Support Services,IL,Healthcare Provider,533,8/10/2016,Unauthorized Access/Disclosure,Email
"Newkirk Products, Inc.",NY,Business Associate,3466120,8/9/2016,Hacking/IT Incident,Network Server
"Professional Dermatology Care, P.C.",VA,Healthcare Provider,13237,8/9/2016,Hacking/IT Incident,Network Server
"Prosthetic & Orthotic Care, Inc.",MO,Healthcare Provider,23015,8/7/2016,Hacking/IT Incident,Network Server
Center for Minimmally Invasive Bariatric and General Surgery,PA,Healthcare Provider,992,8/5/2016,Unauthorized Access/Disclosure,Email
The Carle Foundation,IL,Healthcare Provider,1185,8/4/2016,Unauthorized Access/Disclosure,Network Server
Banner Health,AZ,Healthcare Provider,3620000,8/3/2016,Hacking/IT Incident,"Network Server, Other"
"Jefferson Medical Associates, P.A.",MS,Healthcare Provider,10401,7/29/2016,Hacking/IT Incident,Network Server
